date,nama_kabupaten_kota,produksi_padi
2019-03-01,KOTA CIREBON,69
2019-03-01,KABUPATEN CIANJUR,150872
2019-03-01,KABUPATEN TASIKMALAYA,80487
2019-03-01,KABUPATEN PURWAKARTA,23294
2019-04-01,KOTA BANJAR,11014
2019-04-01,KOTA CIMAHI,33
2019-04-01,KABUPATEN BANDUNG BARAT,22827
2019-04-01,KABUPATEN PANGANDARAN,31276
2019-04-01,KABUPATEN CIANJUR,67686
2019-04-01,KABUPATEN CIREBON,109868
2019-04-01,KABUPATEN SUBANG,170059
2019-04-01,KOTA DEPOK,14
2019-04-01,KABUPATEN BANDUNG,71889
2019-04-01,KABUPATEN MAJALENGKA,63914
2019-04-01,KABUPATEN BEKASI,72627
2019-04-01,KOTA BOGOR,32
2019-04-01,KABUPATEN SUMEDANG,46455
2019-04-01,KABUPATEN TASIKMALAYA,42603
2019-04-01,KABUPATEN SUKABUMI,76662
2019-04-01,KOTA CIREBON,370
2019-04-01,KABUPATEN INDRAMAYU,405780
2019-04-01,KABUPATEN CIAMIS,85794
2019-04-01,KOTA TASIKMALAYA,9227
2019-04-01,KOTA SUKABUMI,1428
2019-04-01,KABUPATEN KARAWANG,141195
2019-04-01,KABUPATEN BOGOR,54855
2019-04-01,KABUPATEN PURWAKARTA,44260
2019-04-01,KOTA BEKASI,464
2019-04-01,KABUPATEN KUNINGAN,57741
2019-04-01,KABUPATEN GARUT,66657
2019-04-01,KOTA BANDUNG,1900
2019-05-01,KABUPATEN BOGOR,18766
2019-05-01,KABUPATEN KARAWANG,172345
2019-05-01,KABUPATEN PURWAKARTA,8113
2019-05-01,KABUPATEN INDRAMAYU,94130
2019-05-01,KABUPATEN BEKASI,37911
2019-05-01,KABUPATEN SUMEDANG,15510
2019-05-01,KOTA CIMAHI,15
2019-05-01,KABUPATEN CIAMIS,23653
2019-05-01,KABUPATEN CIANJUR,26580
2019-05-01,KOTA DEPOK,16
2019-05-01,KABUPATEN BANDUNG,22536
2019-05-01,KOTA BEKASI,863
2019-05-01,KOTA TASIKMALAYA,4098
2019-05-01,KABUPATEN GARUT,33336
2019-05-01,KABUPATEN SUKABUMI,12683
2019-05-01,KOTA CIREBON,66
2019-05-01,KABUPATEN TASIKMALAYA,26567
2019-05-01,KOTA BANDUNG,1046
2019-05-01,KABUPATEN MAJALENGKA,30523
2019-05-01,KOTA SUKABUMI,903
2019-05-01,KABUPATEN SUBANG,142933
2019-05-01,KOTA BANJAR,1621
2019-05-01,KABUPATEN BANDUNG BARAT,7445
2019-05-01,KABUPATEN KUNINGAN,17651
2019-05-01,KOTA BOGOR,32
2019-05-01,KABUPATEN CIREBON,85528
2019-05-01,KABUPATEN PANGANDARAN,1340
2019-06-01,KABUPATEN KARAWANG,139010
2019-06-01,KABUPATEN BEKASI,110659
2019-06-01,KOTA DEPOK,67
2019-06-01,KOTA BEKASI,38
2019-06-01,KABUPATEN BANDUNG BARAT,11640
2019-06-01,KABUPATEN PURWAKARTA,5627
2019-06-01,KABUPATEN PANGANDARAN,0
2019-06-01,KOTA CIREBON,29
2019-06-01,KOTA BANDUNG,108
2019-06-01,KOTA CIMAHI,61
